"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","YLR449W","TRUE","1.41789488013975e-22","3531","2524","1925","0.762678288431062","0.545171339563863","GO:0044237","GO:BP","cellular metabolic process","5076","12725","c(""GO:0008152"", ""GO:0009987"")"
"2","YLR449W","TRUE","3.38568579184308e-22","466","2524","336","0.133122028526149","0.721030042918455","GO:0034660","GO:BP","ncRNA metabolic process","5076","10040","GO:0016070"
"3","YLR449W","TRUE","4.01770198541903e-21","3491","2524","1901","0.753169572107765","0.544543110856488","GO:0071704","GO:BP","organic substance metabolic process","5076","19739","GO:0008152"
"4","YLR449W","TRUE","1.08021002322985e-20","3310","2524","1814","0.718700475435816","0.548036253776435","GO:0044238","GO:BP","primary metabolic process","5076","12726","GO:0008152"
"5","YLR449W","TRUE","6.56089191053538e-20","3679","2524","1984","0.786053882725832","0.539276977439522","GO:0008152","GO:BP","metabolic process","5076","3544","GO:0008150"
"6","YLR449W","TRUE","2.32225647049553e-18","397","2524","286","0.113312202852615","0.720403022670025","GO:0034470","GO:BP","ncRNA processing","5076","9964","c(""GO:0006396"", ""GO:0034660"")"
"7","YLR449W","TRUE","4.05169011833004e-16","482","2524","331","0.131141045958796","0.686721991701245","GO:0022613","GO:BP","ribonucleoprotein complex biogenesis","5076","7628","GO:0044085"
"8","YLR449W","TRUE","2.26420234941256e-14","572","2524","378","0.149762282091918","0.660839160839161","GO:0006396","GO:BP","RNA processing","5076","2400","c(""GO:0010467"", ""GO:0016070"")"
"9","YLR449W","TRUE","4.80627764945708e-14","1984","2524","1130","0.44770206022187","0.569556451612903","GO:1901564","GO:BP","organonitrogen compound metabolic process","5076","24824","c(""GO:0006807"", ""GO:0071704"")"
"10","YLR449W","TRUE","1.13193981048554e-13","183","2524","144","0.0570522979397781","0.786885245901639","GO:0006399","GO:BP","tRNA metabolic process","5076","2403","GO:0034660"
"11","YLR449W","TRUE","1.36561693889063e-13","3107","2524","1686","0.667987321711569","0.542645638879949","GO:0006807","GO:BP","nitrogen compound metabolic process","5076","2776","GO:0008152"
"12","YLR449W","TRUE","2.08555464209995e-13","407","2524","280","0.110935023771791","0.687960687960688","GO:0042254","GO:BP","ribosome biogenesis","5076","11668","GO:0022613"
"13","YLR449W","TRUE","1.29316323363761e-12","161","2524","128","0.0507131537242472","0.795031055900621","GO:0009451","GO:BP","RNA modification","5076","3953","c(""GO:0016070"", ""GO:0043412"")"
"14","YLR449W","TRUE","2.70964340630807e-12","1458","2524","850","0.336767036450079","0.582990397805213","GO:0019538","GO:BP","protein metabolic process","5076","6791","c(""GO:0043170"", ""GO:0044238"", ""GO:1901564"")"
"15","YLR449W","TRUE","1.04862039318966e-11","1385","2524","809","0.320522979397781","0.584115523465704","GO:0044267","GO:BP","cellular protein metabolic process","5076","12744","c(""GO:0019538"", ""GO:0044260"")"
"16","YLR449W","TRUE","1.47840904446012e-10","284","2524","200","0.0792393026941363","0.704225352112676","GO:0006364","GO:BP","rRNA processing","5076","2374","c(""GO:0016072"", ""GO:0034470"", ""GO:0042254"")"
"17","YLR449W","TRUE","1.6443753105105e-10","301","2524","210","0.0832012678288431","0.697674418604651","GO:0016072","GO:BP","rRNA metabolic process","5076","5689","GO:0034660"
"18","YLR449W","TRUE","1.95303066769076e-10","88","2524","76","0.0301109350237718","0.863636363636364","GO:0001510","GO:BP","RNA methylation","5076","439","c(""GO:0009451"", ""GO:0043414"")"
"19","YLR449W","TRUE","9.57145688415747e-10","697","2524","432","0.171156893819334","0.619799139167862","GO:0006793","GO:BP","phosphorus metabolic process","5076","2762","GO:0044237"
"20","YLR449W","TRUE","1.40950355485692e-09","680","2524","422","0.167194928684628","0.620588235294118","GO:0006796","GO:BP","phosphate-containing compound metabolic process","5076","2765","GO:0006793"
"21","YLR449W","TRUE","4.76259107774005e-09","141","2524","109","0.0431854199683043","0.773049645390071","GO:0032259","GO:BP","methylation","5076","8660","GO:0008152"
"22","YLR449W","TRUE","6.398305631455e-09","603","2524","377","0.149366085578447","0.625207296849088","GO:0043603","GO:BP","cellular amide metabolic process","5076","12472","GO:0034641"
"23","YLR449W","TRUE","7.53099096056534e-09","75","2524","65","0.0257527733755943","0.866666666666667","GO:0000154","GO:BP","rRNA modification","5076","68","c(""GO:0006364"", ""GO:0009451"")"
"24","YLR449W","TRUE","1.20058502006811e-08","531","2524","336","0.133122028526149","0.632768361581921","GO:0006518","GO:BP","peptide metabolic process","5076","2505","c(""GO:0043603"", ""GO:1901564"")"
"25","YLR449W","TRUE","1.88366050303195e-08","138","2524","106","0.0419968304278922","0.768115942028985","GO:0043414","GO:BP","macromolecule methylation","5076","12343","c(""GO:0032259"", ""GO:0043412"", ""GO:0044260"")"
"26","YLR449W","TRUE","3.86723897757918e-08","538","2524","338","0.13391442155309","0.628252788104089","GO:0043604","GO:BP","amide biosynthetic process","5076","12473","c(""GO:0043603"", ""GO:0044271"")"
"27","YLR449W","TRUE","8.36179869246935e-08","961","2524","566","0.224247226624406","0.588969823100936","GO:0043412","GO:BP","macromolecule modification","5076","12341","GO:0043170"
"28","YLR449W","TRUE","9.0944506086585e-08","64","2524","56","0.0221870047543582","0.875","GO:0031167","GO:BP","rRNA methylation","5076","8232","c(""GO:0000154"", ""GO:0001510"")"
"29","YLR449W","TRUE","9.51127750351922e-08","80","2524","67","0.0265451664025357","0.8375","GO:0006400","GO:BP","tRNA modification","5076","2404","c(""GO:0008033"", ""GO:0009451"")"
"30","YLR449W","TRUE","1.03092276050594e-07","2244","2524","1227","0.486133122028526","0.546791443850267","GO:0034641","GO:BP","cellular nitrogen compound metabolic process","5076","10027","c(""GO:0006807"", ""GO:0044237"")"
"31","YLR449W","TRUE","1.1158982944138e-07","489","2524","309","0.122424722662441","0.631901840490798","GO:0006412","GO:BP","translation","5076","2415","c(""GO:0010467"", ""GO:0034645"", ""GO:0043043"", ""GO:0044267"")"
"32","YLR449W","TRUE","1.43243504492746e-07","376","2524","245","0.097068145800317","0.651595744680851","GO:0019637","GO:BP","organophosphate metabolic process","5076","6884","c(""GO:0006793"", ""GO:0071704"")"
"33","YLR449W","TRUE","1.8072567890017e-07","494","2524","311","0.123217115689382","0.629554655870445","GO:0043043","GO:BP","peptide biosynthetic process","5076","12141","c(""GO:0006518"", ""GO:0043604"", ""GO:1901566"")"
"34","YLR449W","TRUE","1.00096379422004e-06","121","2524","92","0.0364500792393027","0.760330578512397","GO:0042273","GO:BP","ribosomal large subunit biogenesis","5076","11681","c(""GO:0022613"", ""GO:0042254"")"
"35","YLR449W","TRUE","1.36752010363686e-06","1003","2524","582","0.230586370839937","0.580259222333001","GO:1901566","GO:BP","organonitrogen compound biosynthetic process","5076","24826","c(""GO:1901564"", ""GO:1901576"")"
"36","YLR449W","TRUE","1.64361665290578e-06","109","2524","84","0.0332805071315372","0.770642201834862","GO:0090501","GO:BP","RNA phosphodiester bond hydrolysis","5076","21522","c(""GO:0016070"", ""GO:0090305"")"
"37","YLR449W","TRUE","1.94984088471981e-06","184","2524","130","0.0515055467511886","0.706521739130435","GO:0002181","GO:BP","cytoplasmic translation","5076","859","GO:0006412"
"38","YLR449W","TRUE","3.69298486318095e-06","79","2524","64","0.0253565768621236","0.810126582278481","GO:0000469","GO:BP","cleavage involved in rRNA processing","5076","213","c(""GO:0006364"", ""GO:0090501"")"
"39","YLR449W","TRUE","5.15240721044363e-06","87","2524","69","0.027337559429477","0.793103448275862","GO:0000460","GO:BP","maturation of 5.8S rRNA","5076","204","GO:0006364"
"40","YLR449W","TRUE","6.20719013582676e-06","739","2524","438","0.173534072900158","0.592692828146143","GO:0044281","GO:BP","small molecule metabolic process","5076","12753","GO:0008152"
"41","YLR449W","TRUE","8.24681416525028e-06","309","2524","201","0.079635499207607","0.650485436893204","GO:0044255","GO:BP","cellular lipid metabolic process","5076","12736","c(""GO:0006629"", ""GO:0044237"")"
"42","YLR449W","TRUE","8.34134865626736e-06","86","2524","68","0.0269413629160063","0.790697674418605","GO:0000466","GO:BP","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","5076","210","GO:0000460"
"43","YLR449W","TRUE","1.24172844119484e-05","333","2524","214","0.0847860538827258","0.642642642642643","GO:0006629","GO:BP","lipid metabolic process","5076","2614","c(""GO:0044238"", ""GO:0071704"")"
"44","YLR449W","TRUE","1.27670248980715e-05","2712","2524","1446","0.572900158478605","0.533185840707965","GO:0043170","GO:BP","macromolecule metabolic process","5076","12224","GO:0071704"
"45","YLR449W","TRUE","1.36206621849041e-05","115","2524","86","0.0340729001584786","0.747826086956522","GO:0030490","GO:BP","maturation of SSU-rRNA","5076","7894","c(""GO:0006364"", ""GO:0042274"")"
"46","YLR449W","TRUE","2.15765044080243e-05","127","2524","93","0.0368462757527734","0.732283464566929","GO:0008033","GO:BP","tRNA processing","5076","3515","c(""GO:0006399"", ""GO:0034470"")"
"47","YLR449W","TRUE","2.22423698052263e-05","209","2524","142","0.0562599049128368","0.679425837320574","GO:0008610","GO:BP","lipid biosynthetic process","5076","3642","c(""GO:0006629"", ""GO:1901576"")"
"48","YLR449W","TRUE","2.40805775896127e-05","103","2524","78","0.0309033280507132","0.757281553398058","GO:0000462","GO:BP","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","5076","206","GO:0030490"
"49","YLR449W","TRUE","2.52408418238435e-05","142","2524","102","0.0404120443740095","0.71830985915493","GO:0042274","GO:BP","ribosomal small subunit biogenesis","5076","11682","c(""GO:0022613"", ""GO:0042254"")"
