"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","YDR119W","TRUE","9.25484027469125e-16","277","2540","208","0.0818897637795276","0.750902527075812","GO:0071554","GO:BP","cell wall organization or biogenesis","5076","19619","GO:0009987"
"2","YDR119W","TRUE","1.7356723163237e-11","225","2540","167","0.065748031496063","0.742222222222222","GO:0045229","GO:BP","external encapsulating structure organization","5076","13241","GO:0016043"
"3","YDR119W","TRUE","1.7356723163237e-11","225","2540","167","0.065748031496063","0.742222222222222","GO:0071555","GO:BP","cell wall organization","5076","19620","c(""GO:0045229"", ""GO:0071554"")"
"4","YDR119W","TRUE","2.38983695873824e-11","118","2540","98","0.0385826771653543","0.830508474576271","GO:0042546","GO:BP","cell wall biogenesis","5076","11854","c(""GO:0044085"", ""GO:0071554"")"
"5","YDR119W","TRUE","9.25478655239242e-09","207","2540","150","0.0590551181102362","0.72463768115942","GO:0071852","GO:BP","fungal-type cell wall organization or biogenesis","5076","19821","GO:0071554"
"6","YDR119W","TRUE","1.11214761386669e-07","497","2540","315","0.124015748031496","0.633802816901408","GO:0000003","GO:BP","reproduction","5076","3","GO:0008150"
"7","YDR119W","TRUE","1.20678890110618e-07","213","2540","151","0.0594488188976378","0.708920187793427","GO:0030154","GO:BP","cell differentiation","5076","7739","GO:0048869"
"8","YDR119W","TRUE","1.71284719212661e-07","232","2540","162","0.0637795275590551","0.698275862068966","GO:0048869","GO:BP","cellular developmental process","5076","15203","c(""GO:0009987"", ""GO:0032502"")"
"9","YDR119W","TRUE","2.03439699810362e-07","176","2540","128","0.0503937007874016","0.727272727272727","GO:0048646","GO:BP","anatomical structure formation involved in morphogenesis","5076","14992","c(""GO:0009653"", ""GO:0032502"")"
"10","YDR119W","TRUE","2.74565302119226e-07","480","2540","304","0.119685039370079","0.633333333333333","GO:0022414","GO:BP","reproductive process","5076","7612","c(""GO:0000003"", ""GO:0008150"")"
"11","YDR119W","TRUE","4.20588924322494e-07","169","2540","123","0.0484251968503937","0.727810650887574","GO:0030435","GO:BP","sporulation resulting in formation of a cellular spore","5076","7862","c(""GO:0030154"", ""GO:0043934"", ""GO:0048646"")"
